,coords_first,coords_last,full_street,street_width,bike_lane,elevation_x,elevation_y,distance,elevation_diff,steep
4700,"(40.73542519, -73.97474901)","(40.73434554, -73.97455806)",F ROOSEVELT DR,0,0,1.979127356952,2.57729736,121.26056671575527,0.5981700030480002,0.00493293095396923
4701,"(40.73542519, -73.97474901)","(40.73538167, -73.97482619)",E  23 ST,60,1,1.979127356952,1.979127356952,8.114953758703672,0.0,0.0
4702,"(40.73542519, -73.97474901)","(40.7353983, -73.97467193)",E  23 ST,60,1,1.979127356952,1.979127356952,7.157698994871822,0.0,0.0
4703,"(40.73542519, -73.97474901)","(40.73596664, -73.97480409)",F ROOSEVELT DR,16,0,1.979127356952,2.2045574369520002,60.45273258016764,0.2254300800000002,0.0037290304404528386
4704,"(40.73543185, -73.98270106)","(40.73637638, -73.98493339)",E  19 ST,30,0,6.29314464,8.260506716952001,215.66372675955694,1.9673620769520008,0.009122359640689177
4705,"(40.73543185, -73.98270106)","(40.73483805, -73.98311381)",2 AVE,58,1,6.29314464,6.4768780769520005,74.7097297451921,0.18373343695200006,0.0024592973040947737
4706,"(40.73544433, -73.97774316)","(40.73481288, -73.97717682)",COOPER RD,16,0,3.646270175568,3.1407110129520004,84.98907417473201,-0.5055591626159996,0.00594851947176884
4707,"(40.73544433, -73.97774316)","(40.73524972, -73.97827512)",PEDESTRIAN PATH,0,0,3.646270175568,3.7368572872560004,49.82700769558142,0.09058711168800038,0.0018180323458603655
4708,"(40.73544433, -73.97774316)","(40.7349692, -73.97685249)",PEDESTRIAN PATH,0,0,3.646270175568,3.0594201427680003,91.87909758888513,-0.5868500327999997,0.0063871984836624315
4709,"(40.73545611, -73.97956331)","(40.7356, -73.97946483)",FIRST AVE,70,1,4.098340796952001,4.098340796952001,18.043602028610326,0.0,0.0
4710,"(40.73545611, -73.97956331)","(40.7353944, -73.97939137)",CONNECTOR,30,0,4.098340796952001,3.939658914672,16.04782140066192,-0.15868188228000069,0.009888063826125058
4711,"(40.73550555, -74.00837038)","(40.73481432, -74.00843635)",WASHINGTON ST,36,1,4.98095016,4.79651568,77.14831721284993,-0.18443448000000018,0.002390648126402432
4712,"(40.73550555, -74.00837038)","(40.73529699, -74.00998888)",W  11 ST,28,0,4.98095016,2.269266476952,138.48095390254883,-2.711683683048,0.01958163636680502
4713,"(40.73553005, -73.97929118)","(40.7356, -73.97946483)",E  21 ST,32,0,3.714547966368,4.098340796952001,16.588555227370406,0.3837928305840008,0.023136001015372276
4714,"(40.73553005, -73.97929118)","(40.73497802, -73.97882505)",PEDESTRIAN PATH,0,0,3.714547966368,3.7192062735360003,72.95366958974954,0.0046583071680004196,6.385295207487331e-05
